# List of adjectives and their exclamation forms, used to transforme exclamative phrase.
جميل=ما أجمل|أجمِل ب
نافع=ما أَنْفَعَ|أَنْفِعْ ب
نافعة=ما أَنْفَعَ|أَنْفِعْ ب
نبيل=ما أَنْبَلَ|أَنْبِلْ ب
نبيلة=ما أَنْبَلَ|أَنْبِلْ ب
ندي=ما أَنْدَى|أَنْدِ ب
ندية=ما أَنْدَى|أَنْدِ ب
نسيب=ما أَنْسَبَ|أَنْسِبْ ب
نسيبة=ما أَنْسَبَ|أَنْسِبْ ب
نفيس=ما أَنْفَسَ|أَنْفِسْ ب
نفيسة=ما أَنْفَسَ|أَنْفِسْ ب
نقي=ما أَنْقَى|أَنْقِ ب
نقية=ما أَنْقَى|أَنْقِ ب
نير=ما أَنْوَرَ|أَنْوِرْ ب
نيرة=ما أَنْوَرَ|أَنْوِرْ ب
هالك=ما أهْلَكَ|أهْلِكْ ب
هالكة=ما أهْلَكَ|أهْلِكْ ب
هين=ما أهْوَنَ|أهْوِنْ ب
هينة=ما أهْوَنَ|أهْوِنْ ب
واثق=ما أوْثَقَ|أوْثِقْ ب
واثقة=ما أوْثَقَ|أوْثِقْ ب
وازن=ما أوْزَنَ|أوْزِنْ ب
وازنة=ما أوْزَنَ|أوْزِنْ ب
واسع=ما أوْسَعَ|أوْسِعْ ب
واسعة=ما أوْسَعَ|أوْسِعْ ب
واضح=ما أوْضَحَ|أوْضِحْ ب
واضحة=ما أوْضَحَ|أوْضِحْ ب
واع=ما أَوْعَى|أَوْعِ ب
واعية=ما أَوْعَى|أَوْعِ ب
وافر=ما أَوْفَرَ|أَوْفِرْ ب
وافرة=ما أَوْفَرَ|أَوْفِرْ ب
واه=ما أوْهَى|أوْهِ ب
واهية=ما أوْهَى|أوْهِ ب
وجيه=ما أوْجَهَ|أوْجِهْ ب
وجيهة=ما أوْجَهَ|أوْجِهْ ب
وسطي=ما أوْسَطَ|أوْسِطْ ب
وسطية=ما أوْسَطَ|أوْسِطْ ب
وسيم=ما أوْسَمَ|أوْسِمْ ب
وسيمة=ما أوْسَمَ|أوْسِمْ ب
وعر=ما أوْعَرَ|أوْعِرْ ب
وعرة=ما أوْعَرَ|أوْعِرْ ب
يسير=ما أَيْسَرَ|أَيْسِرْ ب
يسيرة=ما أَيْسَرَ|أَيْسِرْ ب
يمين=ما أَيْمَنَ|أَيْمِنْ ب
يمينة=ما أَيْمَنَ|أَيْمِنْ ب
